benchmark,width,Xwidth,XDwidth
./benchmarks/concom/grids/problog_format/grid_3_8_3_28.pl,5,29,6
./benchmarks/concom/grids/problog_format/grid_9_10_1_12.pl,14,14,14
./benchmarks/concom/grids/problog_format/grid_5_10_9_121.pl,8,123,8
./benchmarks/concom/grids/problog_format/grid_10_7_2_27.pl,11,28,12
./benchmarks/concom/grids/problog_format/grid_4_10_9_93.pl,7,95,7
./benchmarks/concom/grids/problog_format/grid_6_10_3_48.pl,11,50,14
./benchmarks/concom/grids/problog_format/grid_2_6_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_9_2_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_3_7_5_42.pl,5,43,6
./benchmarks/concom/grids/problog_format/grid_4_7_0_3.pl,7,6,6
./benchmarks/concom/grids/problog_format/grid_9_8_5_108.pl,13,113,32
./benchmarks/concom/grids/problog_format/grid_8_5_2_27.pl,8,29,13
./benchmarks/concom/grids/problog_format/grid_8_10_5_108.pl,14,113,33
./benchmarks/concom/grids/problog_format/grid_9_7_7_152.pl,11,155,14
./benchmarks/concom/grids/problog_format/grid_2_9_2_12.pl,4,13,4
./benchmarks/concom/grids/problog_format/grid_10_2_8_36.pl,4,37,4
./benchmarks/concom/grids/problog_format/grid_9_4_1_12.pl,7,13,8
./benchmarks/concom/grids/problog_format/grid_2_9_6_28.pl,4,29,4
./benchmarks/concom/grids/problog_format/grid_10_7_1_12.pl,12,13,12
./benchmarks/concom/grids/problog_format/grid_2_7_4_20.pl,4,21,4
./benchmarks/concom/grids/problog_format/grid_8_3_3_28.pl,5,29,6
./benchmarks/concom/grids/problog_format/grid_4_2_2_12.pl,4,13,4
./benchmarks/concom/grids/problog_format/grid_5_7_1_12.pl,8,13,8
./benchmarks/concom/grids/problog_format/grid_7_9_8_158.pl,11,162,11
./benchmarks/concom/grids/problog_format/grid_8_9_3_48.pl,13,50,14
./benchmarks/concom/grids/problog_format/grid_4_9_2_27.pl,6,29,11
./benchmarks/concom/grids/problog_format/grid_3_7_6_44.pl,5,46,5
./benchmarks/concom/grids/problog_format/grid_2_8_4_20.pl,4,21,4
./benchmarks/concom/grids/problog_format/grid_6_6_2_27.pl,9,29,10
./benchmarks/concom/grids/problog_format/grid_6_3_3_28.pl,5,30,6
./benchmarks/concom/grids/problog_format/grid_10_9_7_192.pl,14,198,38
./benchmarks/concom/grids/problog_format/grid_9_10_8_225.pl,14,227,21
./benchmarks/concom/grids/problog_format/grid_3_3_1_12.pl,4,13,7
./benchmarks/concom/grids/problog_format/grid_10_10_6_147.pl,15,152,39
./benchmarks/concom/grids/problog_format/grid_2_3_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_9_8_7_176.pl,13,180,16
./benchmarks/concom/grids/problog_format/grid_3_5_2_21.pl,5,22,6
./benchmarks/concom/grids/problog_format/grid_7_10_3_48.pl,12,50,15
./benchmarks/concom/grids/problog_format/grid_7_9_5_108.pl,11,113,29
./benchmarks/concom/grids/problog_format/grid_10_10_3_48.pl,16,52,16
./benchmarks/concom/grids/problog_format/grid_9_7_3_48.pl,11,52,15
./benchmarks/concom/grids/problog_format/grid_8_3_1_12.pl,5,13,8
./benchmarks/concom/grids/problog_format/grid_5_9_2_27.pl,8,29,10
./benchmarks/concom/grids/problog_format/grid_10_6_0_3.pl,11,9,9
./benchmarks/concom/grids/problog_format/grid_9_8_3_48.pl,13,51,14
./benchmarks/concom/grids/problog_format/grid_6_10_0_3.pl,9,11,11
./benchmarks/concom/grids/problog_format/grid_7_8_7_139.pl,11,142,11
./benchmarks/concom/grids/problog_format/grid_10_5_2_27.pl,9,29,11
./benchmarks/concom/grids/problog_format/grid_6_2_3_16.pl,4,17,4
./benchmarks/concom/grids/problog_format/grid_4_2_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_7_7_1_12.pl,10,13,10
./benchmarks/concom/grids/problog_format/grid_7_5_6_82.pl,8,84,8
./benchmarks/concom/grids/problog_format/grid_10_8_4_75.pl,14,80,23
./benchmarks/concom/grids/problog_format/grid_8_2_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_4_3_3_23.pl,5,24,5
./benchmarks/concom/grids/problog_format/grid_10_8_2_27.pl,14,30,14
./benchmarks/concom/grids/problog_format/grid_7_8_5_108.pl,11,111,29
./benchmarks/concom/grids/problog_format/grid_9_5_1_12.pl,8,13,8
./benchmarks/concom/grids/problog_format/grid_4_6_0_3.pl,6,6,6
./benchmarks/concom/grids/problog_format/grid_6_8_0_3.pl,10,10,10
./benchmarks/concom/grids/problog_format/grid_7_9_2_27.pl,11,29,12
./benchmarks/concom/grids/problog_format/grid_4_4_2_27.pl,5,29,11
./benchmarks/concom/grids/problog_format/grid_5_10_0_3.pl,8,8,8
./benchmarks/concom/grids/problog_format/grid_4_8_4_50.pl,6,52,8
./benchmarks/concom/grids/problog_format/grid_2_2_1_5.pl,3,6,3
./benchmarks/concom/grids/problog_format/grid_7_7_6_120.pl,10,123,10
./benchmarks/concom/grids/problog_format/grid_8_5_1_12.pl,8,13,8
./benchmarks/concom/grids/problog_format/grid_5_8_2_27.pl,8,29,12
./benchmarks/concom/grids/problog_format/grid_8_6_7_117.pl,9,120,9
./benchmarks/concom/grids/problog_format/grid_10_3_7_56.pl,5,58,6
./benchmarks/concom/grids/problog_format/grid_9_2_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_8_4_4_50.pl,7,52,8
./benchmarks/concom/grids/problog_format/grid_5_5_1_12.pl,7,13,7
./benchmarks/concom/grids/problog_format/grid_2_7_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_9_9_6_147.pl,13,151,39
./benchmarks/concom/grids/problog_format/grid_3_6_1_12.pl,5,13,8
./benchmarks/concom/grids/problog_format/grid_8_4_1_12.pl,7,13,7
./benchmarks/concom/grids/problog_format/grid_6_10_1_12.pl,9,13,11
./benchmarks/concom/grids/problog_format/grid_6_9_8_133.pl,9,137,9
./benchmarks/concom/grids/problog_format/grid_3_2_2_9.pl,4,10,4
./benchmarks/concom/grids/problog_format/grid_7_5_1_12.pl,8,13,8
./benchmarks/concom/grids/problog_format/grid_7_9_0_3.pl,11,11,11
./benchmarks/concom/grids/problog_format/grid_7_10_7_152.pl,11,156,15
./benchmarks/concom/grids/problog_format/grid_5_6_3_48.pl,8,50,16
./benchmarks/concom/grids/problog_format/grid_9_6_6_112.pl,10,115,11
./benchmarks/concom/grids/problog_format/grid_9_5_3_48.pl,9,50,15
./benchmarks/concom/grids/problog_format/grid_3_3_2_16.pl,4,17,4
./benchmarks/concom/grids/problog_format/grid_8_3_0_3.pl,5,5,5
./benchmarks/concom/grids/problog_format/grid_10_4_4_50.pl,7,52,8
./benchmarks/concom/grids/problog_format/grid_7_6_0_3.pl,9,9,9
./benchmarks/concom/grids/problog_format/grid_7_4_2_27.pl,6,29,12
./benchmarks/concom/grids/problog_format/grid_9_4_5_60.pl,7,62,8
./benchmarks/concom/grids/problog_format/grid_3_10_2_21.pl,5,23,6
./benchmarks/concom/grids/problog_format/grid_6_3_4_35.pl,5,36,6
./benchmarks/concom/grids/problog_format/grid_8_6_1_12.pl,11,13,10
./benchmarks/concom/grids/problog_format/grid_10_9_9_233.pl,14,238,14
./benchmarks/concom/grids/problog_format/grid_5_7_2_27.pl,8,29,11
./benchmarks/concom/grids/problog_format/grid_5_9_3_48.pl,9,50,16
./benchmarks/concom/grids/problog_format/grid_3_10_9_65.pl,5,67,5
./benchmarks/concom/grids/problog_format/grid_6_6_4_75.pl,9,78,23
./benchmarks/concom/grids/problog_format/grid_8_10_4_75.pl,14,79,25
./benchmarks/concom/grids/problog_format/grid_8_5_3_48.pl,8,51,15
./benchmarks/concom/grids/problog_format/grid_5_6_5_69.pl,8,71,8
./benchmarks/concom/grids/problog_format/grid_2_5_2_12.pl,4,13,4
./benchmarks/concom/grids/problog_format/grid_7_3_2_21.pl,5,22,5
./benchmarks/concom/grids/problog_format/grid_5_10_7_104.pl,8,107,11
./benchmarks/concom/grids/problog_format/grid_4_4_3_33.pl,5,34,5
./benchmarks/concom/grids/problog_format/grid_2_10_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_10_4_3_40.pl,7,42,8
./benchmarks/concom/grids/problog_format/grid_6_10_4_75.pl,11,78,24
./benchmarks/concom/grids/problog_format/grid_2_9_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_9_3_5_42.pl,5,44,6
./benchmarks/concom/grids/problog_format/grid_4_6_4_50.pl,7,51,8
./benchmarks/concom/grids/problog_format/grid_9_2_4_20.pl,4,21,4
./benchmarks/concom/grids/problog_format/grid_9_9_1_12.pl,13,14,13
./benchmarks/concom/grids/problog_format/grid_5_4_2_27.pl,6,29,11
./benchmarks/concom/grids/problog_format/grid_3_6_3_28.pl,5,30,6
./benchmarks/concom/grids/problog_format/grid_10_6_6_112.pl,11,115,12
./benchmarks/concom/grids/problog_format/grid_8_5_0_3.pl,8,8,8
./benchmarks/concom/grids/problog_format/grid_2_8_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_6_6_5_85.pl,9,88,9
./benchmarks/concom/grids/problog_format/grid_8_2_2_12.pl,4,13,4
./benchmarks/concom/grids/problog_format/grid_4_10_1_12.pl,7,13,8
